"","a","c","path_estimate_y_x1.Y ~ X1","path_estimate_y_x2.Y ~ X2","sd_bootstrap_y_x1","Z_test_boot_y_x1.Y ~ X1","Z_test_boot_y_x2.Y ~ X2","perc_ci_lb_boot_y_x1","perc_ci_ub_boot_y_x1","perc_ci_sgn_same_y_x1","sd_delta_y_x1","Z_test_delta_y_x1.Y ~ X1","sd_delta_y_x2","Z_test_delta_y_x2.Y ~ X2","Sim_run","simulation_run","n","c_estimate"
"result.55",0,0,0.267407101329584,0.145916195870127,0.322139588704689,1,1,-0.461927619734426,0.555016206345526,0,0.120772522392345,0,0.147209098409668,1,55,1,50,0.160422838872969
"result.56",0,0,0.157008366772943,0.681945815432329,0.223897639659675,1,0,-0.395529593351407,0.348853252571244,0,0.161532943616008,1,0.0847914157277687,0,56,1,50,0.0772119702799138
"result.57",0,0,-0.381827185529272,0.2815623297592,0.2013246503876,1,1,-0.709340390131557,-0.00618453945160729,1,0.167695294406729,0,0.149170401097908,1,57,1,50,-0.270148855596045
"result.58",0,0,-0.191690193186807,0.544409878351194,0.28483903674904,1,0,-0.540386733550234,0.450033343885609,0,0.132301058736951,1,0.114370240428575,0,58,1,50,-0.0674663470353909
"result.59",0,0,-0.126154703336172,0.61943311842524,0.218701588417349,1,0,-0.421080581074217,0.366174620880735,0,0.12171047276527,1,0.0822364601413274,0,59,1,50,-0.0043496065009523
"result.60",0,0,-0.248180435691264,0.589151501382062,0.313135847435393,1,0,-0.469316541780172,0.456493705858279,0,0.0931125277748035,0,0.0690580981824126,0,60,1,50,-0.218307931747472
"result.61",0,0,0.311376602986591,0.45762868252474,0.197684399729305,1,0,-0.324739892368128,0.59234521597677,0,0.139933417755702,0,0.138810720609947,0,61,1,50,0.0354941450044575
"result.62",0,0,0.0395685384517021,0.554028484429506,0.217166812315663,1,0,-0.387240380936319,0.471623441683795,0,0.145283957397456,1,0.101125574889184,0,62,1,50,0.267100588354004
"result.63",0,0,-0.192920714483423,0.62769423735776,0.169390891451226,1,0,-0.443276098611967,0.268364476162273,0,0.0875267309686648,0,0.067399166218096,0,63,1,50,-0.158056983847707
"result.64",0,0,0.197888057748442,0.541039746964919,0.256754622017621,1,0,-0.426368732420031,0.485909229088253,0,0.129474691621714,1,0.122608762957991,0,64,1,50,0.26386663387715
"result.65",0,0,-0.237413629796398,0.580281396803458,0.305435654871524,1,0,-0.496635965621701,0.442971117753268,0,0.12564494962981,1,0.0859673125691478,0,65,1,50,0.104983349609715
"result.66",0,0,0.0733466809358151,0.583350853457107,0.259845257535363,1,0,-0.442209651664589,0.447360938683453,0,0.0908730666082632,1,0.0782518750274592,0,66,1,50,0.0945742412699201
